,title,date,days,location,instructor
,Linux,Mar 21,1,371,Dave Nielsen
,Linux,Mar 22,1,371,Dave Nielsen
,Linux,Mar 23,1,371,Dave Nielsen
,Linux,Mar 26,1,371,Dave Nielsen
,Linux,Mar 27 ,1,371,Dave Nielsen
,Linux,Mar 28,1,371,Dave Nielsen
,Interview Skills,Mar 29,1,371,Marlene Delanghe
,Linux,Mar 30,1,371,Dave Nielsen
,Practicum Host Intervies & Self Study,Apr 2 - 5,4,364, 
,Good Friday (BCIT Closed),Apr 6 ,1, , 
,Easter Monday (BCIT Closed),Apr 9 ,1, , 
,Security,Apr 10 - 13,4,364 /360,Erik Whiteway
,Work Term / Self Study,April 16 - June 22,10 weeks, , 
,Self Study / Job Search,Jun 25 - 29,5,371,
